path_id,startpoint,endpoint,path_group,data_arrival_time_s,required_time_s,slack_s,rank
gcd__clk460ps__abc0__pd500__rlabase__path0001,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[14],core_clock,6.977e-10,3.68e-10,-3.297e-10,1
gcd__clk460ps__abc0__pd500__rlabase__path0002,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[13],core_clock,6.961e-10,3.68e-10,-3.281e-10,2
gcd__clk460ps__abc0__pd500__rlabase__path0003,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[15],core_clock,6.804e-10,3.68e-10,-3.124e-10,3
gcd__clk460ps__abc0__pd500__rlabase__path0004,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[10],core_clock,6.801e-10,3.68e-10,-3.121e-10,4
gcd__clk460ps__abc0__pd500__rlabase__path0005,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[12],core_clock,6.744e-10,3.68e-10,-3.064e-10,5
gcd__clk460ps__abc0__pd500__rlabase__path0006,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[11],core_clock,6.64e-10,3.68e-10,-2.96e-10,6
gcd__clk460ps__abc0__pd500__rlabase__path0007,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[10]$_DFFE_PP_/D,core_clock,7.888e-10,4.952e-10,-2.937e-10,7
gcd__clk460ps__abc0__pd500__rlabase__path0008,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[9]$_DFFE_PP_/D,core_clock,7.851e-10,4.923e-10,-2.928e-10,8
gcd__clk460ps__abc0__pd500__rlabase__path0009,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[1]$_DFFE_PP_/D,core_clock,7.842e-10,4.935e-10,-2.907e-10,9
gcd__clk460ps__abc0__pd500__rlabase__path0010,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[4]$_DFFE_PP_/D,core_clock,7.819e-10,4.936e-10,-2.883e-10,10
gcd__clk460ps__abc0__pd500__rlabase__path0011,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[3]$_DFFE_PP_/D,core_clock,7.823e-10,4.94e-10,-2.883e-10,11
gcd__clk460ps__abc0__pd500__rlabase__path0012,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[8]$_DFFE_PP_/D,core_clock,7.803e-10,4.923e-10,-2.88e-10,12
gcd__clk460ps__abc0__pd500__rlabase__path0013,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[5]$_DFFE_PP_/D,core_clock,7.786e-10,4.926e-10,-2.86e-10,13
gcd__clk460ps__abc0__pd500__rlabase__path0014,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[2]$_DFFE_PP_/D,core_clock,7.792e-10,4.938e-10,-2.853e-10,14
gcd__clk460ps__abc0__pd500__rlabase__path0015,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[13]$_DFFE_PP_/D,core_clock,7.792e-10,4.958e-10,-2.834e-10,15
gcd__clk460ps__abc0__pd500__rlabase__path0016,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[14]$_DFFE_PP_/D,core_clock,7.787e-10,4.959e-10,-2.828e-10,16
gcd__clk460ps__abc0__pd500__rlabase__path0017,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[11]$_DFFE_PP_/D,core_clock,7.784e-10,4.957e-10,-2.827e-10,17
gcd__clk460ps__abc0__pd500__rlabase__path0018,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[12]$_DFFE_PP_/D,core_clock,7.782e-10,4.959e-10,-2.823e-10,18
gcd__clk460ps__abc0__pd500__rlabase__path0019,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[9]$_DFFE_PP_/D,core_clock,7.779e-10,4.959e-10,-2.82e-10,19
gcd__clk460ps__abc0__pd500__rlabase__path0020,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[1]$_DFFE_PP_/D,core_clock,7.795e-10,4.976e-10,-2.819e-10,20
gcd__clk460ps__abc0__pd500__rlabase__path0021,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[15]$_DFFE_PP_/D,core_clock,7.775e-10,4.959e-10,-2.816e-10,21
gcd__clk460ps__abc0__pd500__rlabase__path0022,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[10]$_DFFE_PP_/D,core_clock,7.774e-10,4.958e-10,-2.816e-10,22
gcd__clk460ps__abc0__pd500__rlabase__path0023,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[0]$_DFFE_PP_/D,core_clock,7.791e-10,4.979e-10,-2.812e-10,23
gcd__clk460ps__abc0__pd500__rlabase__path0024,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[13]$_DFFE_PP_/D,core_clock,7.763e-10,4.952e-10,-2.811e-10,24
gcd__clk460ps__abc0__pd500__rlabase__path0025,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[3]$_DFFE_PP_/D,core_clock,7.787e-10,4.978e-10,-2.81e-10,25
gcd__clk460ps__abc0__pd500__rlabase__path0026,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[7]$_DFFE_PP_/D,core_clock,7.773e-10,4.965e-10,-2.808e-10,26
gcd__clk460ps__abc0__pd500__rlabase__path0027,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[8]$_DFFE_PP_/D,core_clock,7.775e-10,4.967e-10,-2.808e-10,27
gcd__clk460ps__abc0__pd500__rlabase__path0028,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[6]$_DFFE_PP_/D,core_clock,7.769e-10,4.965e-10,-2.804e-10,28
gcd__clk460ps__abc0__pd500__rlabase__path0029,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[2]$_DFFE_PP_/D,core_clock,7.784e-10,4.981e-10,-2.802e-10,29
gcd__clk460ps__abc0__pd500__rlabase__path0030,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[4]$_DFFE_PP_/D,core_clock,7.781e-10,4.979e-10,-2.802e-10,30
gcd__clk460ps__abc0__pd500__rlabase__path0031,dpath.b_reg.out[2]$_DFFE_PP_/Q,dpath.b_reg.out[5]$_DFFE_PP_/D,core_clock,7.764e-10,4.964e-10,-2.799e-10,31
gcd__clk460ps__abc0__pd500__rlabase__path0032,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[11]$_DFFE_PP_/D,core_clock,7.703e-10,4.925e-10,-2.778e-10,32
gcd__clk460ps__abc0__pd500__rlabase__path0033,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[12]$_DFFE_PP_/D,core_clock,7.702e-10,4.927e-10,-2.774e-10,33
gcd__clk460ps__abc0__pd500__rlabase__path0034,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[14]$_DFFE_PP_/D,core_clock,7.723e-10,4.953e-10,-2.77e-10,34
gcd__clk460ps__abc0__pd500__rlabase__path0035,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[7]$_DFFE_PP_/D,core_clock,7.669e-10,4.934e-10,-2.735e-10,35
gcd__clk460ps__abc0__pd500__rlabase__path0036,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[6]$_DFFE_PP_/D,core_clock,7.613e-10,4.93e-10,-2.683e-10,36
gcd__clk460ps__abc0__pd500__rlabase__path0037,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[15]$_DFFE_PP_/D,core_clock,7.559e-10,4.977e-10,-2.581e-10,37
gcd__clk460ps__abc0__pd500__rlabase__path0038,dpath.b_reg.out[5]$_DFFE_PP_/Q,dpath.a_reg.out[0]$_DFFE_PP_/D,core_clock,7.459e-10,4.98e-10,-2.48e-10,38
gcd__clk460ps__abc0__pd500__rlabase__path0039,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[9],core_clock,6.122e-10,3.68e-10,-2.442e-10,39
gcd__clk460ps__abc0__pd500__rlabase__path0040,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[7],core_clock,5.982e-10,3.68e-10,-2.302e-10,40
gcd__clk460ps__abc0__pd500__rlabase__path0041,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[6],core_clock,5.705e-10,3.68e-10,-2.025e-10,41
gcd__clk460ps__abc0__pd500__rlabase__path0042,dpath.b_reg.out[5]$_DFFE_PP_/Q,resp_msg[8],core_clock,5.653e-10,3.68e-10,-1.973e-10,42
gcd__clk460ps__abc0__pd500__rlabase__path0043,dpath.b_reg.out[2]$_DFFE_PP_/Q,resp_msg[5],core_clock,4.513e-10,3.68e-10,-8.33e-11,43
gcd__clk460ps__abc0__pd500__rlabase__path0044,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[3],core_clock,4.241e-10,3.68e-10,-5.614e-11,44
gcd__clk460ps__abc0__pd500__rlabase__path0045,dpath.b_reg.out[2]$_DFFE_PP_/Q,resp_msg[4],core_clock,4.208e-10,3.68e-10,-5.276e-11,45
gcd__clk460ps__abc0__pd500__rlabase__path0046,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[2],core_clock,3.607e-10,3.68e-10,7.315e-12,46
gcd__clk460ps__abc0__pd500__rlabase__path0047,ctrl.state.out[0]$_DFF_P_/QN,resp_val,core_clock,3.595e-10,3.68e-10,8.462e-12,47
gcd__clk460ps__abc0__pd500__rlabase__path0048,dpath.a_reg.out[1]$_DFFE_PP_/Q,resp_msg[1],core_clock,3.534e-10,3.68e-10,1.455e-11,48
gcd__clk460ps__abc0__pd500__rlabase__path0049,dpath.b_reg.out[2]$_DFFE_PP_/Q,ctrl.state.out[1]$_DFF_P_/D,core_clock,4.757e-10,5.03e-10,2.731e-11,49
gcd__clk460ps__abc0__pd500__rlabase__path0050,dpath.b_reg.out[2]$_DFFE_PP_/Q,ctrl.state.out[2]$_DFF_P_/D,core_clock,4.513e-10,4.97e-10,4.566e-11,50
gcd__clk460ps__abc0__pd500__rlabase__path0051,dpath.a_reg.out[0]$_DFFE_PP_/Q,resp_msg[0],core_clock,2.951e-10,3.68e-10,7.293e-11,51
gcd__clk460ps__abc0__pd500__rlabase__path0052,ctrl.state.out[0]$_DFF_P_/Q,req_rdy,core_clock,2.699e-10,3.68e-10,9.812e-11,52
gcd__clk460ps__abc0__pd500__rlabase__path0053,ctrl.state.out[0]$_DFF_P_/QN,ctrl.state.out[0]$_DFF_P_/D,core_clock,3.797e-10,4.999e-10,1.202e-10,53
